0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:35 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 8350
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:41 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 8350
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:56 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 25460736
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:50:06 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 782
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:50:26 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 2326528
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:50:34 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6081
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:50:34 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:50:51 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6081
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:50:51 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 2992
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:50:59 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6081
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:50:59 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:07 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:07 +0900] "GET /drawAcademy/resources/images/menu.png HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:07 +0900] "GET /drawAcademy/resources/images/lg.png HTTP/1.1" 200 28090
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:07 +0900] "GET /drawAcademy/resources/images/facebookIcon.png HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:07 +0900] "GET /drawAcademy/resources/images/youtubeIcon.png HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:07 +0900] "GET /drawAcademy/resources/images/instagramIcon.png HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:07 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 2992
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:19 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:19 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 2992
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:20 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:20 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:20 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:20 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:20 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:20 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:20 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:20 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:21 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:21 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:21 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:21 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:21 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:21 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:21 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:21 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:21 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:21 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:21 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:21 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:26 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:27 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:27 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:27 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:27 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:27 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:27 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:27 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:27 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:27 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:27 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:28 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:28 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:32 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:32 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:32 +0900] "GET /drawAcademy/resources/images/menu.png HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:32 +0900] "GET /drawAcademy/resources/images/lg.png HTTP/1.1" 200 28090
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:32 +0900] "GET /drawAcademy/resources/images/facebookIcon.png HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:32 +0900] "GET /drawAcademy/resources/images/youtubeIcon.png HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:32 +0900] "GET /drawAcademy/resources/images/instagramIcon.png HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:33 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:33 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:33 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:33 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:33 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:33 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:33 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:33 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:35 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:35 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:35 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:35 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:35 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:36 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:36 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:43 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:43 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:44 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:44 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:44 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:44 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:46 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:51:46 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:04 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:04 +0900] "GET /drawAcademy/resources/images/lg.png HTTP/1.1" 200 28090
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:04 +0900] "GET /drawAcademy/resources/images/menu.png HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:04 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:04 +0900] "GET /drawAcademy/resources/images/facebookIcon.png HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:04 +0900] "GET /drawAcademy/resources/images/youtubeIcon.png HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:04 +0900] "GET /drawAcademy/resources/images/instagramIcon.png HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:05 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:05 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:05 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:05 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:13 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:13 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:14 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:14 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:14 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:14 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 2968
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:14 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:14 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:15 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:15 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:15 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:15 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:15 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:15 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:15 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:52:15 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
